dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,-0.1497685376270161,0.3609640474436812,-0.21141452415618955,0.04165108977336133,3,0.441314750338855,gemini-2.5-flash-lite,3,3,0.3996636605654936,formal_logic
mmlu,-0.1502240271711304,0.6544788325876625,0.01577274949787799,0.27615695283033775,3,0.556336349438872,gpt-4o-mini,3,3,0.2801793966085343,formal_logic
mmlu,-0.18973513255301333,0.22705642693871111,-0.17920486777584088,0.08693295038905875,3,0.617323285861849,qwen2.5-7b-instruct,3,3,0.5303903354727902,formal_logic
mmlu,-0.5808771481384942,0.4722055438319187,0.4722055438319187,0.4722055438319187,1,0.7844359684647981,deepseek-chat,1,1,0.3122304246328794,global_facts
mmlu,0.011392405063290978,-0.023567355642862275,-0.023567355642862275,-0.023567355642862275,1,0.3463392121887338,gemini-2.5-flash-lite,1,1,0.3699065678315961,global_facts
mmlu,0.008735056842576028,0.057481616828121196,0.057481616828121196,0.057481616828121196,1,0.39752013969226113,gpt-4o-mini,1,1,0.34003852286413994,global_facts
mmlu,-0.44301028372840645,0.4500148351681868,0.4500148351681868,0.4500148351681868,1,0.7166994713893735,qwen2.5-7b-instruct,1,1,0.2666846362211867,global_facts
mmlu,0.20250854413283478,-0.15913633572791008,-0.16298871891230748,-0.16106252732010878,2,0.4019553157947159,deepseek-chat,2,2,0.5630178431148247,high_school_biology
mmlu,0.004367528421287847,-0.13283970704857906,-0.16372245957723808,-0.14828108331290857,2,0.13234021632184104,gemini-2.5-flash-lite,2,2,0.2806212996347496,high_school_biology
mmlu,-0.5087350568425759,0.573185438435748,0.28810114138149123,0.4306432899086196,2,0.6111253136304602,gpt-4o-mini,2,2,0.18048202372184058,high_school_biology
mmlu,-0.4287836228768614,0.6784825084603161,-0.0028928079248060623,0.337794850267755,2,0.5197232779519987,qwen2.5-7b-instruct,2,2,0.1819284276842436,high_school_biology
mmlu,-0.1956324715787121,-0.04246720374476798,-0.04246720374476798,-0.04246720374476798,1,0.6261739753041188,deepseek-chat,1,1,0.6686411790488868,high_school_chemistry
mmlu,0.0,0.0,0.0,0.0,1,0.2646804326436821,gemini-2.5-flash-lite,1,1,0.2646804326436821,high_school_chemistry
mmlu,-0.37550500967284495,0.40195654282770005,0.40195654282770005,0.40195654282770005,1,0.6686411790488868,gpt-4o-mini,1,1,0.2666846362211867,high_school_chemistry
mmlu,-0.016855714211179817,-0.02912031691666983,-0.02912031691666983,-0.02912031691666983,1,0.647641358048412,qwen2.5-7b-instruct,1,1,0.6767616749650819,high_school_chemistry
mmlu,-0.38689741473613604,0.3286026561847468,0.3286026561847468,0.3286026561847468,1,0.6686411790488868,deepseek-chat,1,1,0.34003852286413994,high_school_computer_science
mmlu,-0.007972044662145739,0.10522613518791402,0.10522613518791402,0.10522613518791402,1,0.3699065678315961,gemini-2.5-flash-lite,1,1,0.2646804326436821,high_school_computer_science
mmlu,-0.4,0.27283495752061193,0.27283495752061193,0.27283495752061193,1,0.7134804071359583,gpt-4o-mini,1,1,0.44064544961534635,high_school_computer_science
mmlu,0.24500351603704096,-0.26148066498628886,-0.26148066498628886,-0.26148066498628886,1,0.4731106046075888,qwen2.5-7b-instruct,1,1,0.7345912695938777,high_school_computer_science
mmlu,-0.35856407641307914,0.31596026744369715,0.05154447746407642,0.18583765911945713,3,0.6360946437202063,deepseek-chat,3,3,0.45025698460074914,high_school_european_history
mmlu,0.22680101321788362,0.0,-0.2807120648483345,-0.09357068828277816,3,0.3265341024898046,gemini-2.5-flash-lite,3,3,0.4201047907725827,high_school_european_history
mmlu,0.017847507505977706,0.14754522115931362,-0.3609640474436812,-0.045206462173580576,3,0.2958484110862942,gpt-4o-mini,3,3,0.3410548732598748,high_school_european_history
mmlu,-0.12318184476226916,0.11243715844161117,-0.1175205160472999,-0.013217526053535914,3,0.4345547097313783,qwen2.5-7b-instruct,3,3,0.44777223578491415,high_school_european_history
