seed,arm,update_index,parent_team_hash,target_member,target_selection_rank,candidate_id,candidate_stage,source_slot,generation_key,valid,feasible,common_safe_outcome,sanitized_rejection_reasons,target_gain,vote_gain_count,vote_loss_count,vote_net_gain,selected_as_branch_winner,winner,branch_rank,cell_rank
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,2,2,94ae35a00d87b5b2b223c95e35425ba0d78a08d0a81a28669beaffb335c9a6c1,revision,2,fef4341526d84ac8dcab76ad5d3a9b7c02a42315e326a39539202ebe66d8c908,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,W1_TOP2,3,bd97ba28675858e40c992fe6664b1f96fe8ee09962acc437fbe088365aae7e42,2,2,e82b2c8e68d2be1a73e0013719385bc947792f9514667baad437b227f07a120e,source,2,b1bced5308857c5d7cada88ffadee909410214f8646f29b081dd387b8894351f,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-7,0,0,0,False,False,NA,NA
60,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,029bd91732ecd112973e53c77d22120c5af63c547a9b6b0734c520667941aeda,source,1,f5bdc6d1510e3931a3b7040c79d17495492e23eb1e67bcdfe71825ec01e5f1ed,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,1e1037dcfee523bd11a62d8ae8a0a2b55795f5e7c8473060395fd58a472d7649,source,2,e195cab560b6765bcd6b18405c20f9b5dd68d976c77cb7ee09cf878ca4276ab1,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,28a0314674d1f1711b5403ce6d05ff2744e7517339292c78390d191934d37566,revision,1,566e05019ab46b984fd4b43c8e898867322cc15158774d2e39a700c0fbe7c9b0,True,True,passed,[],1,0,0,0,False,False,2,NA
60,HYBRID_BASE,1,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,3,2,3cdcfd6d18ba2b8c4bae0c7aa0bb4a2b4fbcf89dd9148516fc355173fd8470ce,revision,2,971400061c52a04eb56ca14624ffddfc2a13d95ef65f6bb2bcf0f1f85eef4d18,True,True,passed,[],6,0,0,0,True,True,1,1
60,HYBRID_BASE,4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,2,1,21a0fdc959f446f04bdaa42d4b2767cb0605bd8a85eb10c4e3c27cad045c86b4,source,1,7ae09dbbda564087256a1ceef370fb2ec41dd424ae46fdc28d9a89a97ab1e5f3,True,False,rejected,['no_target_or_vote_progress'],0,0,0,0,False,False,NA,NA
60,HYBRID_BASE,4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,2,1,2297b499bc33b60a15d48b5656cb030f7c8fd15fa3eb24fcbde8ec31f200d9c2,revision,1,fb13d579867703c36292d94e50bd85272b82209d1f731446295c5d92e9d46472,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-4,0,0,0,False,False,NA,NA
60,HYBRID_BASE,4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,2,1,270608e8ae44cee20ba4596758cfea3b2bfa10f6f6d7a7769c4ab5e10cbd376c,source,2,9f04663fddb0efe27cc4e24b50dd6224b3e947e66383da0305ea2aa008f39469,True,False,rejected,"['no_target_or_vote_progress', 'target_regression']",-3,0,0,0,False,False,NA,NA
60,HYBRID_BASE,4,ec91f8187c0e1690849d6f04fe4c59880834fe2c4b72968e4015564a32eacae4,2,1,69234030827b858a0bcb2046f96506777a4715f9a2239ce261ce4316f5f77930,revision,2,1a6e3cbd55edd1fca00baa5a897e5f3db1b05433cf9b5fdbe69e3eae70b6511a,True,True,passed,[],7,0,0,0,True,True,1,1
