G0_count,G1_count,G2_count,G3_count,G4_count,G5_count,arm,mean_G,mean_H,mean_M,mean_off_diagonal_same_wrong_excess,mean_pairwise_correctness_correlation,n_eff,oracle_accuracy,oracle_covered_but_vote_wrong_rate,oracle_minus_vote_gap,seed,split,total_pivotal_correct,total_unique_correct,vote_accuracy
13,1,5,11,3,42,S3,3.546666666666667,1.4,2.1466666666666665,0.42166462347422096,0.6419791175974267,1.4013780988134719,0.8266666666666667,0.08,0.07999999999999996,57,train,33,1,0.7466666666666667
14,1,5,4,1,25,S3,3.04,1.92,1.12,0.5951872104503684,0.7437252970855128,1.2578929042725517,0.72,0.12,0.12,57,validation,12,1,0.6
21,8,7,12,9,68,S4,3.472,1.432,2.04,0.5304002984937325,0.6573050777848335,1.3777063863147874,0.832,0.12,0.12,57,test,36,8,0.712
11,3,4,9,10,38,S4,3.5733333333333333,1.3333333333333333,2.24,0.42727697302697304,0.5791736670744672,1.50752496085689,0.8533333333333334,0.09333333333333334,0.09333333333333338,57,train,27,3,0.76
12,3,6,3,6,20,S4,2.96,2.0,0.96,0.5886325715347455,0.6305666710696042,1.4195404403412788,0.76,0.18,0.18000000000000005,57,validation,9,3,0.58
40,0,0,0,0,85,S0,3.4,1.6,1.8,0.63625,1.0,1.0,0.68,0.0,0.0,58,test,0,0,0.68
25,0,0,0,0,50,S0,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.3904000000000001,1.0,1.0,0.6666666666666666,0.0,0.0,58,train,0,0,0.6666666666666666
19,0,0,0,0,31,S0,3.1,1.9,1.2,0.6094182825484765,1.0,1.0,0.62,0.0,0.0,58,validation,0,0,0.62
13,15,7,9,20,61,S1,3.528,1.432,2.096,0.5828189198952862,0.5542615506333817,1.5542207619095865,0.896,0.176,0.17600000000000005,58,test,24,15,0.72
7,9,3,3,12,41,S1,3.6933333333333334,1.2533333333333334,2.44,0.37440918286506525,0.5888101976888932,1.4902060125687853,0.9066666666666666,0.16,0.15999999999999992,58,train,6,9,0.7466666666666667
8,7,9,3,4,19,S1,2.9,2.04,0.86,0.606172576537975,0.5340238369972267,1.5943392802793337,0.84,0.32,0.31999999999999995,58,validation,6,7,0.52
22,18,0,0,20,65,S2,3.384,1.6,1.784,0.603719696969697,0.7243198905490293,1.2829461988050197,0.824,0.144,0.1439999999999999,58,test,0,18,0.68
10,15,0,0,8,42,S2,3.4266666666666667,1.56,1.8666666666666667,0.4004622222222222,0.7059625885652034,1.3075825507733676,0.8666666666666667,0.2,0.20000000000000007,58,train,0,15,0.6666666666666666
12,6,0,0,5,27,S2,3.22,1.78,1.44,0.6176470588235294,0.806878162151167,1.1827285724740053,0.76,0.12,0.12,58,validation,0,6,0.64
21,8,7,13,2,74,S3,3.512,1.368,2.144,0.49795606376073,0.6945750169509747,1.323346454826761,0.832,0.12,0.12,58,test,39,8,0.712
14,0,5,13,2,41,S3,3.493333333333333,1.4666666666666666,2.026666666666667,0.41689831608005523,0.6392735216566708,1.405641762133336,0.8133333333333334,0.06666666666666667,0.06666666666666665,58,train,39,0,0.7466666666666667
14,0,4,6,2,24,S3,3.08,1.86,1.22,0.5832561652111825,0.7183964600118158,1.2907936486929623,0.72,0.08,0.07999999999999996,58,validation,18,0,0.64
27,2,7,12,4,73,S4,3.464,1.44,2.024,0.5268222749761049,0.7413488702676698,1.2609082811205432,0.784,0.072,0.07200000000000006,58,test,36,2,0.712
15,0,4,11,3,42,S4,3.506666666666667,1.4533333333333334,2.0533333333333332,0.39231956254272043,0.6828541980278767,1.339973602136961,0.8,0.05333333333333334,0.053333333333333344,58,train,33,0,0.7466666666666667
14,0,4,7,2,23,S4,3.04,1.92,1.12,0.5950745912400048,0.6920610531813144,1.326877908580112,0.72,0.08,0.07999999999999996,58,validation,21,0,0.64
