seed,setting,example_id,initial_G,final_G,initial_vote_correct,final_vote_correct,first_discovery_update,first_discovering_agent,first_singleton_update,first_reinforcement_update,first_reinforcing_agent,first_vote_conversion_update,initial_repair_distance,min_repair_distance,final_repair_distance,ever_orphan,ever_reinforced,ever_vote_converted,persistent_orphan,coverage_lost_after_discovery
48,S1,70109ce377aa14775e72749015908e2d41ce39eeabe8d8e7bde585ef8999a0d0,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,28002f5c5b85d3e013568bad39c1e746339800e201423b86a5287eaf77992a40,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,5c924ef8d381530365efe24a3aff5bc105ce2dc3d6507bc541e6831cfa175c87,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,0,3,False,True,1,[0],1,8,[3],13,3,0,0,True,True,True,False,False
48,S1,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,3,False,True,1,[0],1,8,[3],13,3,0,0,True,True,True,False,False
48,S1,aaf47cda56f320e00a893f109d8bef05f81bef88e0646a2dfedc05620fb89ba8,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,ee1dcfbd373795a127fcb34436ef1934060be722821a8c054a9d77d723e91210,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,0,1,False,False,2,[0],2,,[],,3,2,2,True,False,False,True,False
48,S1,b0fbfdd2a83c341354b5c3817a7f82e10102becaf9e1985b7b4972ee6047f2ac,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,88c2cc95314e18fab5f6dcabddca91c124e999a080bcc604f23aa6f51d2409ed,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,1,False,False,1,[0],1,,[],,3,2,2,True,False,False,True,False
48,S2,67bfcd3c5d850af456066a5555aee26dd15058807bb9d1215e6268737cc71928,5,2,True,False,,[],,,[],,0,0,1,False,False,False,False,False
48,S2,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,3,False,True,0,[1],0,1,[0],2,3,0,0,True,True,True,False,False
48,S2,e70537319da14444bb06cf16a00f28f016495799cb4d3b16c733759ddb65168f,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,f4090a2f9e0d08a163b3da6c70028bb4e7574ce5e9231469f65b452c1edb8804,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,d898b348a6212cc5d6d9a0e602c2482cce53c09e92ad6287d2ccf6cca5bde353,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,be306a54d5fd78716f8762885f9f374ce1a0cb9d213a29b3bc84e6c4708d4e55,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,91e780478a119714a4cdd8bb4ecf8b91c54899826c61e98181f2081654aa45d0,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S2,32771194b1bcc9f926b882ad63acd1759f5cb959b86ebbaa055959727da81746,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,f478b554d5bf2b7f9fce8b7411643910a3444612eb0717f669f05b836b0ab4c5,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S2,ca57cd6622e9376e622d4942ae59b70818b3992be3d9bf9032632c26435fd22f,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
