dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,-0.5087350568425759,0.573185438435748,0.28810114138149123,0.4306432899086196,2,0.6111253136304602,gpt-4o-mini,2,4,0.37306072384000283,high_school_biology
mmlu,-0.15561950572852923,0.4648479218890661,-0.40121607757512867,0.03181592215696871,2,0.3142851907331521,qwen2.5-7b-instruct,2,4,0.4268468197548335,high_school_biology
mmlu,-0.1956324715787121,-0.04246720374476798,-0.04246720374476798,-0.04246720374476798,1,0.6261739753041188,deepseek-chat,1,2,0.6770582381381105,high_school_chemistry
mmlu,-0.008735056842575917,-0.057481616828121196,-0.057481616828121196,-0.057481616828121196,1,0.34003852286413994,gemini-2.5-flash-lite,1,2,0.5330806593705739,high_school_chemistry
mmlu,-0.37550500967284495,0.40195654282770005,0.40195654282770005,0.40195654282770005,1,0.6686411790488868,gpt-4o-mini,1,2,0.3321023879567239,high_school_chemistry
mmlu,0.12559159610279647,-0.060745541878154286,-0.060745541878154286,-0.060745541878154286,1,0.591023354094642,qwen2.5-7b-instruct,1,2,0.5509624567125748,high_school_chemistry
mmlu,-0.38689741473613604,0.3286026561847468,0.3286026561847468,0.3286026561847468,1,0.6686411790488868,deepseek-chat,1,2,0.17001926143206997,high_school_computer_science
mmlu,-0.007972044662145739,0.10522613518791402,0.10522613518791402,0.10522613518791402,1,0.3699065678315961,gemini-2.5-flash-lite,1,2,0.3172935002376391,high_school_computer_science
mmlu,-0.4,0.27283495752061193,0.27283495752061193,0.27283495752061193,1,0.7134804071359583,gpt-4o-mini,1,2,0.44064544961534635,high_school_computer_science
mmlu,0.10057401591759185,0.05504026728495326,0.05504026728495326,0.05504026728495326,1,0.39752013969226113,qwen2.5-7b-instruct,1,2,0.41660340996206735,high_school_computer_science
mmlu,-0.35856407641307914,0.31596026744369715,0.05154447746407642,0.18583765911945713,3,0.6360946437202063,deepseek-chat,3,6,0.4810025048617083,high_school_european_history
mmlu,0.22680101321788362,0.0,-0.2807120648483345,-0.09357068828277816,3,0.3265341024898046,gemini-2.5-flash-lite,3,6,0.3807832954561678,high_school_european_history
mmlu,0.017847507505977706,0.14754522115931362,-0.3609640474436812,-0.045206462173580576,3,0.2958484110862942,gpt-4o-mini,3,6,0.4420701072938662,high_school_european_history
mmlu,-0.06360818053079842,0.2498027231867729,-0.1175205160472999,0.04409406904649101,3,0.334226641225748,qwen2.5-7b-instruct,3,6,0.2582198859890668,high_school_european_history
mmlu,-0.14563247157871206,0.2754887502163468,0.22291916206263185,0.2492039561394893,2,0.8543708529812304,deepseek-chat,2,4,0.4312556146944405,high_school_geography
mmlu,0.2732445306782169,-0.16372245957723808,-0.3592584215189892,-0.26149044054811366,2,0.14167311124471824,gemini-2.5-flash-lite,2,4,0.4741756425358099,high_school_geography
mmlu,0.20281249860921693,0.20485054535735253,0.0652024590511493,0.13502650220425091,2,0.3512698823837327,gpt-4o-mini,2,4,0.3401371529248881,high_school_geography
mmlu,0.019195675002464274,0.01806265501923815,-0.05958147661263802,-0.020759410796699934,2,0.34824033472008104,qwen2.5-7b-instruct,2,4,0.43705484681768203,high_school_geography
mmlu,0.07025316455696207,0.0,-0.01348865750570638,-0.00674432875285319,2,0.4448692934910484,deepseek-chat,2,4,0.4552973255185253,high_school_government_and_politics
mmlu,0.12477817375104522,0.24197101777486724,-0.100957973066444,0.07050652235421162,2,0.36521293499303087,gemini-2.5-flash-lite,2,4,0.4502438801250225,high_school_government_and_politics
mmlu,-0.4893867521294958,0.20920839661570761,-0.03665340115552468,0.08627749773009147,2,0.41737778389806307,gpt-4o-mini,2,4,0.45649024167479324,high_school_government_and_politics
