seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,2,4,1,9c5cccd5958060341a9f9e04a755f42c6be2b1026453ffbd005b4b662d50ec2d,C3_COALITION_AWARE_PRESERVATION,A,True,True,2,0,2,0,2,2,4,0,0,4,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,0,4619a3b2218a7e45f2253d86e19ab4c60cf5612686fe27dc61cc5f8d309d5916,C0_CURRENT_V15,E,False,False,2,0,2,0,2,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,0,4619a3b2218a7e45f2253d86e19ab4c60cf5612686fe27dc61cc5f8d309d5916,C1_BOUNDARY_PROPAGATION,E,False,False,2,0,2,0,2,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,0,4619a3b2218a7e45f2253d86e19ab4c60cf5612686fe27dc61cc5f8d309d5916,C2_BOUNDARY_PLUS_PRESERVATION,E,False,False,2,0,2,0,2,2,3,0,0,3,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,0,4619a3b2218a7e45f2253d86e19ab4c60cf5612686fe27dc61cc5f8d309d5916,C3_COALITION_AWARE_PRESERVATION,E,False,False,2,0,2,0,2,2,3,0,0,3,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,1,aa1cfad6c96010bd2384b6e40691e0d7daf742bf9ab6d816d3732a2430a24da1,C0_CURRENT_V15,F,False,False,2,0,2,0,2,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,1,aa1cfad6c96010bd2384b6e40691e0d7daf742bf9ab6d816d3732a2430a24da1,C1_BOUNDARY_PROPAGATION,F,False,False,2,0,2,0,2,2,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,1,aa1cfad6c96010bd2384b6e40691e0d7daf742bf9ab6d816d3732a2430a24da1,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,2,0,2,0,2,2,3,0,0,3,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,2,2,1,aa1cfad6c96010bd2384b6e40691e0d7daf742bf9ab6d816d3732a2430a24da1,C3_COALITION_AWARE_PRESERVATION,F,False,False,2,0,2,0,2,2,3,0,0,3,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,0,236d1a7b97d447cb6693f1097e71428e2f484e005c087f8843e1412f6830fc87,C0_CURRENT_V15,E,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,0,236d1a7b97d447cb6693f1097e71428e2f484e005c087f8843e1412f6830fc87,C1_BOUNDARY_PROPAGATION,E,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,0,236d1a7b97d447cb6693f1097e71428e2f484e005c087f8843e1412f6830fc87,C2_BOUNDARY_PLUS_PRESERVATION,E,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,0,236d1a7b97d447cb6693f1097e71428e2f484e005c087f8843e1412f6830fc87,C3_COALITION_AWARE_PRESERVATION,E,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,1,905acd27c16a88c2aea202d1154be64225438d0dc8583a69ea497b7a97187987,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,1,905acd27c16a88c2aea202d1154be64225438d0dc8583a69ea497b7a97187987,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,1,905acd27c16a88c2aea202d1154be64225438d0dc8583a69ea497b7a97187987,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,4,1,905acd27c16a88c2aea202d1154be64225438d0dc8583a69ea497b7a97187987,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,0,589332055c8ef76ae543854c852e8d64a99c3dc785739bc60e01198cb163d2b6,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,0,589332055c8ef76ae543854c852e8d64a99c3dc785739bc60e01198cb163d2b6,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,0,589332055c8ef76ae543854c852e8d64a99c3dc785739bc60e01198cb163d2b6,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,0,589332055c8ef76ae543854c852e8d64a99c3dc785739bc60e01198cb163d2b6,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,1,7ec4ddc922126c96e6821e09db633d1a85b6ae7056244d64fb2fb0e253d0c14c,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
